Date,Open,High,Low,Close,Adj Close,Volume,Sector,Ticker
2018-01-17,46.650001525878906,46.650001525878906,46.529998779296875,46.529998779296875,46.529998779296875,0,Agriculture,BAL
2018-01-18,46.650001525878906,46.650001525878906,46.529998779296875,46.529998779296875,46.529998779296875,0,Agriculture,BAL
2018-01-19,46.650001525878906,46.650001525878906,46.529998779296875,46.529998779296875,46.529998779296875,0,Agriculture,BAL
2018-01-22,46.650001525878906,46.650001525878906,46.529998779296875,46.529998779296875,46.529998779296875,0,Agriculture,BAL
2018-01-23,46.650001525878906,46.650001525878906,46.529998779296875,46.529998779296875,46.529998779296875,0,Agriculture,BAL
2018-01-24,46.650001525878906,46.650001525878906,46.529998779296875,46.529998779296875,46.529998779296875,0,Agriculture,BAL
2018-01-25,46.650001525878906,46.650001525878906,46.529998779296875,46.529998779296875,46.529998779296875,0,Agriculture,BAL
2018-01-26,46.650001525878906,46.650001525878906,46.529998779296875,46.529998779296875,46.529998779296875,0,Agriculture,BAL
2018-01-29,46.650001525878906,46.650001525878906,46.529998779296875,46.529998779296875,46.529998779296875,0,Agriculture,BAL
2018-01-30,46.650001525878906,46.650001525878906,46.529998779296875,46.529998779296875,46.529998779296875,0,Agriculture,BAL
2018-01-31,46.650001525878906,46.650001525878906,46.529998779296875,46.529998779296875,46.529998779296875,0,Agriculture,BAL
2018-02-01,46.650001525878906,46.650001525878906,46.529998779296875,46.529998779296875,46.529998779296875,0,Agriculture,BAL
2018-02-02,46.650001525878906,46.650001525878906,46.529998779296875,46.529998779296875,46.529998779296875,0,Agriculture,BAL
2018-02-05,46.650001525878906,46.650001525878906,46.529998779296875,46.529998779296875,46.529998779296875,1300,Agriculture,BAL
2018-02-06,46.58000183105469,46.58000183105469,46.58000183105469,46.58000183105469,46.58000183105469,200,Agriculture,BAL
2018-02-07,46.58000183105469,46.58000183105469,46.58000183105469,46.58000183105469,46.58000183105469,0,Agriculture,BAL
2018-02-08,46.58000183105469,46.58000183105469,46.58000183105469,46.58000183105469,46.58000183105469,0,Agriculture,BAL
2018-02-09,46.54999923706055,46.54999923706055,46.54999923706055,46.54999923706055,46.54999923706055,100,Agriculture,BAL
2018-02-12,46.54999923706055,46.54999923706055,46.54999923706055,46.54999923706055,46.54999923706055,0,Agriculture,BAL
2018-02-13,46.54999923706055,46.54999923706055,46.54999923706055,46.54999923706055,46.54999923706055,0,Agriculture,BAL
2018-02-14,46.54999923706055,46.54999923706055,46.54999923706055,46.54999923706055,46.54999923706055,0,Agriculture,BAL
2018-02-15,46.54999923706055,46.54999923706055,46.54999923706055,46.54999923706055,46.54999923706055,0,Agriculture,BAL
2018-02-16,46.54999923706055,46.54999923706055,46.54999923706055,46.54999923706055,46.54999923706055,0,Agriculture,BAL
2018-02-20,47.7400016784668,47.84000015258789,47.45479965209961,47.459999084472656,47.459999084472656,3561,Agriculture,BAL
2018-02-21,47.459999084472656,47.459999084472656,47.459999084472656,47.459999084472656,47.459999084472656,0,Agriculture,BAL
2018-02-22,47.459999084472656,47.459999084472656,47.459999084472656,47.459999084472656,47.459999084472656,0,Agriculture,BAL
2018-02-23,47.459999084472656,47.459999084472656,47.459999084472656,47.459999084472656,47.459999084472656,0,Agriculture,BAL
2018-02-26,49.47999954223633,49.47999954223633,49.47999954223633,49.47999954223633,49.47999954223633,103,Agriculture,BAL
2018-02-27,49.619998931884766,49.63999938964844,49.619998931884766,49.63999938964844,49.63999938964844,1700,Agriculture,BAL
2018-02-28,49.900001525878906,49.900001525878906,49.7400016784668,49.7400016784668,49.7400016784668,425,Agriculture,BAL
2018-03-01,49.08000183105469,49.08000183105469,49.02000045776367,49.02000045776367,49.02000045776367,785,Agriculture,BAL
2018-03-02,49.46989822387695,49.46989822387695,49.31999969482422,49.31999969482422,49.31999969482422,463,Agriculture,BAL
2018-03-05,50.29999923706055,51.1974983215332,50.279998779296875,50.91999816894531,50.91999816894531,624,Agriculture,BAL
2018-03-06,51.79999923706055,51.79999923706055,49.45000076293945,49.45000076293945,49.45000076293945,1211,Agriculture,BAL
2018-03-07,49.45000076293945,49.45000076293945,49.45000076293945,49.45000076293945,49.45000076293945,0,Agriculture,BAL
2018-03-08,51.13999938964844,51.13999938964844,51.13999938964844,51.13999938964844,51.13999938964844,147,Agriculture,BAL
2018-03-09,50.66999816894531,50.66999816894531,50.5,50.5,50.5,483,Agriculture,BAL
2018-03-12,50.5,50.5,50.5,50.5,50.5,0,Agriculture,BAL
2018-03-13,50.099998474121094,50.25,49.58000183105469,49.58000183105469,49.58000183105469,787,Agriculture,BAL
2018-03-14,49.58000183105469,49.58000183105469,49.58000183105469,49.58000183105469,49.58000183105469,0,Agriculture,BAL
2018-03-15,49.58000183105469,49.58000183105469,49.58000183105469,49.58000183105469,49.58000183105469,0,Agriculture,BAL
2018-03-16,49.58000183105469,49.58000183105469,49.58000183105469,49.58000183105469,49.58000183105469,0,Agriculture,BAL
2018-03-19,48.90999984741211,48.90999984741211,48.90999984741211,48.90999984741211,48.90999984741211,210,Agriculture,BAL
2018-03-20,49.61000061035156,49.619998931884766,49.61000061035156,49.619998931884766,49.619998931884766,300,Agriculture,BAL
2018-03-21,49.619998931884766,49.619998931884766,49.619998931884766,49.619998931884766,49.619998931884766,0,Agriculture,BAL
2018-03-22,49.619998931884766,49.619998931884766,49.619998931884766,49.619998931884766,49.619998931884766,0,Agriculture,BAL
2018-03-23,49.25,49.25,49.25,49.25,49.25,321,Agriculture,BAL
2018-03-26,49.25,49.25,49.25,49.25,49.25,0,Agriculture,BAL
2018-03-27,49.25,49.25,49.25,49.25,49.25,0,Agriculture,BAL
2018-03-28,49.25,49.25,49.25,49.25,49.25,0,Agriculture,BAL
2018-03-29,49.29999923706055,49.29999923706055,49.29999923706055,49.29999923706055,49.29999923706055,113,Agriculture,BAL
2018-04-02,49.099998474121094,49.099998474121094,49.099998474121094,49.099998474121094,49.099998474121094,100,Agriculture,BAL
2018-04-03,49.369998931884766,49.369998931884766,49.369998931884766,49.369998931884766,49.369998931884766,100,Agriculture,BAL
2018-04-04,47.86000061035156,47.91999816894531,47.86000061035156,47.91999816894531,47.91999816894531,461,Agriculture,BAL
2018-04-05,49.65999984741211,49.65999984741211,49.65999984741211,49.65999984741211,49.65999984741211,191,Agriculture,BAL
2018-04-06,50.08000183105469,50.08000183105469,49.66999816894531,49.66999816894531,49.66999816894531,328,Agriculture,BAL
2018-04-09,50.290000915527344,50.290000915527344,50.290000915527344,50.290000915527344,50.290000915527344,116,Agriculture,BAL
2018-04-10,50.290000915527344,50.290000915527344,50.290000915527344,50.290000915527344,50.290000915527344,0,Agriculture,BAL
2018-04-11,50.290000915527344,50.290000915527344,50.290000915527344,50.290000915527344,50.290000915527344,0,Agriculture,BAL
2018-04-12,50.31999969482422,50.31999969482422,50.30099868774414,50.30099868774414,50.30099868774414,322,Agriculture,BAL
2018-04-13,50.61000061035156,50.61000061035156,50.61000061035156,50.61000061035156,50.61000061035156,166,Agriculture,BAL
2018-04-16,50.540000915527344,50.54999923706055,50.38999938964844,50.400001525878906,50.400001525878906,1472,Agriculture,BAL
2018-04-17,49.93000030517578,50.2400016784668,49.79999923706055,50.20000076293945,50.20000076293945,1151,Agriculture,BAL
2018-04-18,50.02000045776367,50.04999923706055,50.0099983215332,50.04999923706055,50.04999923706055,400,Agriculture,BAL
2018-04-19,50.04999923706055,50.04999923706055,50.04999923706055,50.04999923706055,50.04999923706055,0,Agriculture,BAL
2018-04-20,50.97999954223633,51.150001525878906,50.97999954223633,51.150001525878906,51.150001525878906,536,Agriculture,BAL
2018-04-23,51.560001373291016,51.560001373291016,51.560001373291016,51.560001373291016,51.560001373291016,1508,Agriculture,BAL
2018-04-24,50.52000045776367,50.659000396728516,49.43000030517578,49.43000030517578,49.43000030517578,2176,Agriculture,BAL
2018-04-25,49.43000030517578,49.43000030517578,49.43000030517578,49.43000030517578,49.43000030517578,0,Agriculture,BAL
2018-04-26,49.43000030517578,49.43000030517578,49.43000030517578,49.43000030517578,49.43000030517578,0,Agriculture,BAL
2018-04-27,49.43000030517578,49.43000030517578,49.43000030517578,49.43000030517578,49.43000030517578,0,Agriculture,BAL
2018-04-30,50.869998931884766,50.869998931884766,50.869998931884766,50.869998931884766,50.869998931884766,2000,Agriculture,BAL
2018-05-01,50.869998931884766,50.869998931884766,50.869998931884766,50.869998931884766,50.869998931884766,0,Agriculture,BAL
2018-05-02,51.400001525878906,51.470001220703125,51.119998931884766,51.119998931884766,51.119998931884766,1852,Agriculture,BAL
2018-05-03,51.119998931884766,51.119998931884766,51.119998931884766,51.119998931884766,51.119998931884766,0,Agriculture,BAL
2018-05-04,51.279998779296875,52.72999954223633,51.279998779296875,52.72999954223633,52.72999954223633,761,Agriculture,BAL
2018-05-07,53.189998626708984,53.22480010986328,52.31999969482422,52.354400634765625,52.354400634765625,2512,Agriculture,BAL
2018-05-08,52.220001220703125,52.220001220703125,51.71080017089844,51.71080017089844,51.71080017089844,979,Agriculture,BAL
2018-05-09,51.95000076293945,51.95000076293945,51.84000015258789,51.84000015258789,51.84000015258789,429,Agriculture,BAL
